;Departure;Destination;Fleet;Aircraft;ID;Airline;FlightNumber;STD;ATD;STA;ATA
22;EDDM;EPRZ;CRJ9;D-ACNL;QAJ1WV;DLH;LH1618;01.09.2019 09:15;01.09.2019 09:49;01.09.2019 10:40;01.09.2019 10:56
23;EDDM;LPPR;A320;D-AIZD;5NANUG;DLH;LH1794;01.09.2019 06:20;01.09.2019 06:32;01.09.2019 09:10;01.09.2019 09:01
24;EDDM;EGLL;A320;D-AIZA;BBGSQA;DLH;LH2472;01.09.2019 06:45;01.09.2019 07:05;01.09.2019 08:45;01.09.2019 08:49
25;EDDM;EDDL;A319;OE-LYV;HSAIJ0;EWG;EW1918;01.09.2019 17:20;01.09.2019 17:42;01.09.2019 18:35;01.09.2019 18:37
26;EDDM;MMMX;A346;D-AIHE;QKAQIC;DLH;LH520;01.09.2019 20:30;01.09.2019 20:53;02.09.2019 09:05;02.09.2019 09:00
27;EDDM;EDDF;A319;D-AILK;F5ZOYT;DLH;LH115;01.09.2019 15:00;01.09.2019 15:31;01.09.2019 16:00;01.09.2019 16:02
28;EDDM;OEJN;A333;HZ-AQ20;N8ZPQT;SVA;SV174;01.09.2019 08:00;01.09.2019 08:50;01.09.2019 13:05;01.09.2019 13:40
29;EDDM;LIMJ;CRJ9;D-ACKG;KG9IF5;DLH;LH1948;01.09.2019 09:55;01.09.2019 10:04;01.09.2019 11:05;01.09.2019 10:56
30;EDDM;LGKL;A320;SX-DVS;LI6SC5;AEE;A3405;01.09.2019 17:10;01.09.2019 17:34;01.09.2019 19:30;01.09.2019 19:38
31;EDDM;EDLP;CRJ9;D-ACNQ;C07QZH;DLH;LH2182;01.09.2019 20:25;01.09.2019 20:41;01.09.2019 21:25;01.09.2019 21:23
32;EDDM;EPGD;CRJ9;D-ACNQ;4E7GQS;DLH;LH1642;01.09.2019 08:55;01.09.2019 09:07;01.09.2019 10:25;01.09.2019 10:19
33;EDDM;LIRP;E195;I-ADJW;RIZLKM;DLA;EN8290;01.09.2019 09:05;01.09.2019 09:21;01.09.2019 10:20;01.09.2019 10:17
34;EDDM;EDDT;A319;OE-LKA;K66Q21;EZY;U25572;01.09.2019 14:50;01.09.2019 15:28;01.09.2019 16:10;01.09.2019 16:23
35;EDDM;LGKV;A321;D-AIAI;74VV7U;CFG;DE1744;01.09.2019 04:00;01.09.2019 04:26;01.09.2019 06:15;01.09.2019 06:17
36;EDDM;LMML;A320;9H-AEQ;8WZS8I;AMC;KM309;01.09.2019 16:50;01.09.2019 17:45;01.09.2019 19:00;01.09.2019 19:58
37;EDDM;EDDH;A320;D-AIUX;HO2CKI;DLH;LH2722;01.09.2019 14:45;01.09.2019 15:29;01.09.2019 16:00;01.09.2019 16:18
38;EDDM;LEBL;A320;D-AIUW;5X6E3W;DLH;LH1816;01.09.2019 17:20;01.09.2019 17:57;01.09.2019 19:20;01.09.2019 19:42
39;EDDM;EDDW;A320;D-AIZE;V2ROLJ;DLH;LH2112;01.09.2019 12:30;01.09.2019 13:23;01.09.2019 13:40;01.09.2019 14:11
40;EDDM;LFPG;A320;D-AIUV;HVJM5G;DLH;LH2230;01.09.2019 10:10;01.09.2019 10:28;01.09.2019 11:45;01.09.2019 11:38
41;EDDM;UUDD;A320;VQ-BET;E3IQ05;SBI;S7898;01.09.2019 15:00;01.09.2019 15:14;01.09.2019 18:05;01.09.2019 18:05
42;EDDM;RJTT;B789;JA836A;RLPV7D;ANA;NH218;31.08.2019 19:25;31.08.2019 19:45;01.09.2019 06:50;01.09.2019 06:46
43;EDDM;EPWA;E190;SP-LMC;DANSN4;LOT;LO376;01.09.2019 05:00;01.09.2019 05:14;01.09.2019 06:35;01.09.2019 06:20
44;EDDM;LEAL;A320;D-AIZE;UIIYPM;DLH;LH1778;01.09.2019 06:05;01.09.2019 06:26;01.09.2019 08:40;01.09.2019 08:40
45;EDDM;LFLL;E195;I-ADJQ;Z844JU;DLA;LH2246;01.09.2019 05:35;01.09.2019 05:50;01.09.2019 06:55;01.09.2019 06:54
46;EDDM;LOWW;A319;OE-LDG;1JTCEC;AUA;OS102;01.09.2019 09:20;01.09.2019 09:41;01.09.2019 10:25;01.09.2019 10:26
47;EDDM;KBOS;A346;D-AIHU;0C1492;DLH;LH424;01.09.2019 13:50;01.09.2019 14:21;01.09.2019 22:25;01.09.2019 22:31
48;EDDM;LLBG;B738;4X-EKH;WOFUZG;ELY;LY354;01.09.2019 08:30;01.09.2019 09:02;01.09.2019 12:10;01.09.2019 12:19
49;EDDM;KJFK;A346;D-AIHW;ZN2DCO;DLH;LH410;01.09.2019 10:25;01.09.2019 10:43;01.09.2019 19:25;01.09.2019 19:21
50;EDDM;LIPE;E195;I-ADJU;3RCDW8;DLA;EN8238;01.09.2019 06:20;01.09.2019 06:28;01.09.2019 07:20;01.09.2019 07:10
51;EDDM;LEMG;A321;D-AIDC;AXCRZC;DLH;LH1834;01.09.2019 09:10;01.09.2019 09:33;01.09.2019 12:10;01.09.2019 12:22
52;EDDM;ULLI;A320;D-AIPZ;T2U86M;DLH;LH2564;01.09.2019 10:05;01.09.2019 10:59;01.09.2019 12:45;01.09.2019 13:19
53;EDDM;LIRF;A320;D-AIZH;9EAXUV;DLH;LH1848;01.09.2019 17:25;01.09.2019 18:07;01.09.2019 18:55;01.09.2019 19:19
54;EDDM;LFSB;CRJ9;D-ACKL;5QF4ZG;DLH;LH2398;01.09.2019 12:55;01.09.2019 13:12;01.09.2019 13:50;01.09.2019 13:54
55;EDDM;EHAM;E190;PH-EZZ;LQG3XM;KLM;KL1796;01.09.2019 12:05;01.09.2019 12:28;01.09.2019 13:40;01.09.2019 13:34
56;EDDM;OMDB;A388;A6-EEF;EDBDI5;UAE;EK52;31.08.2019 20:35;31.08.2019 21:00;01.09.2019 02:30;01.09.2019 02:46
57;EDDM;EBBR;A319;D-AIBE;AQ8H14;DLH;LH2294;01.09.2019 19:25;01.09.2019 19:51;01.09.2019 20:45;01.09.2019 20:50
58;EDDM;LDZA;E195;D-AEBC;AK9LOL;DLH;LH1712;01.09.2019 10:05;01.09.2019 10:50;01.09.2019 11:05;01.09.2019 11:36
59;EDDM;EPGD;CRJ9;D-ACKA;1JSFQZ;DLH;LH1646;01.09.2019 17:50;01.09.2019 19:00;01.09.2019 19:20;01.09.2019 20:10
60;EDDM;VTBS;A332;D-AXGE;M1Y2ME;EWG;LH792;01.09.2019 13:25;01.09.2019 13:47;02.09.2019 00:10;02.09.2019 00:27
61;EDDM;LGZA;A320;D-AICF;Z6Z1FI;CFG;DE1750;01.09.2019 03:55;01.09.2019 04:05;01.09.2019 06:15;01.09.2019 05:55
62;EDDM;EDDF;A20N;D-AINF;UC2TC6;DLH;LH101;01.09.2019 08:00;01.09.2019 08:17;01.09.2019 09:00;01.09.2019 08:52
63;EDDM;EVRA;BCS3;YL-CSG;2DFP79;BTI;BT224;01.09.2019 17:30;01.09.2019 17:57;01.09.2019 19:30;01.09.2019 19:43
64;EDDM;HECA;B738;SU-GEI;9VS6T0;MSR;MS788;01.09.2019 13:55;01.09.2019 15:16;01.09.2019 17:35;01.09.2019 18:37
65;EDDM;LTAI;B738;OM-GTH;UMPL3X;RLX;XC9176;01.09.2019 17:30;01.09.2019 18:31;01.09.2019 20:30;01.09.2019 21:11
66;EDDM;EGLL;A320;G-EUYT;CDE5DK;BAW;BA949;01.09.2019 08:25;01.09.2019 08:43;01.09.2019 10:35;01.09.2019 10:18
67;EDDM;LGMK;A319;D-AGWH;HIIRXO;EWG;EW1932;01.09.2019 10:00;01.09.2019 11:33;01.09.2019 12:35;01.09.2019 13:52
68;EDDM;EDDP;CRJ9;D-ACKE;SYF7RC;DLH;LH2168;01.09.2019 13:05;01.09.2019 13:21;01.09.2019 14:00;01.09.2019 14:01
69;EDDM;EDDH;A321;D-AIRD;2FT42J;DLH;LH2064;01.09.2019 07:15;01.09.2019 07:27;01.09.2019 08:30;01.09.2019 08:22
70;EDDM;LIPQ;CRJ9;D-ACKL;NPN046;DLH;LH1934;01.09.2019 09:30;01.09.2019 09:40;01.09.2019 10:25;01.09.2019 10:16
71;EDDM;EDDF;A20N;D-AINH;SBKKL5;DLH;LH111;01.09.2019 13:00;01.09.2019 13:31;01.09.2019 14:00;01.09.2019 14:05
72;EDDM;EDDF;A319;D-AILD;Q71JKH;DLH;LH97;01.09.2019 06:00;01.09.2019 06:15;01.09.2019 07:00;01.09.2019 06:49
73;EDDM;EHAM;A319;D-AILT;5C29WT;DLH;LH2310;01.09.2019 18:10;01.09.2019 18:27;01.09.2019 19:40;01.09.2019 19:31
74;EDDM;EDDC;CRJ9;D-ACNX;MK5861;DLH;LH2128;01.09.2019 16:40;01.09.2019 16:40;01.09.2019 17:35;01.09.2019 17:43
75;EDDM;LRCL;E195;I-ADJO;M7WRHM;DLA;LH1672;01.09.2019 20:20;01.09.2019 21:02;01.09.2019 22:00;01.09.2019 22:24
76;EDDM;LFSB;CRJ9;D-ACNL;CEOES4;DLH;LH2402;01.09.2019 19:25;01.09.2019 19:42;01.09.2019 20:20;01.09.2019 20:22
77;EDDM;LOWG;CRJ9;D-ACNX;LMTK4E;DLH;LH2344;01.09.2019 13:35;01.09.2019 13:48;01.09.2019 14:25;01.09.2019 14:28
78;EDDM;LEMD;A321;D-AIDA;AWMZEN;DLH;LH1802;01.09.2019 09:45;01.09.2019 10:48;01.09.2019 12:25;01.09.2019 13:22
79;EDDM;KIAD;A359;D-AIXL;QTMUWX;DLH;LH414;01.09.2019 14:25;01.09.2019 15:04;01.09.2019 23:30;01.09.2019 23:38
80;EDDM;EDDK;A321;D-AIRO;M73T2S;DLH;LH1998;01.09.2019 19:40;01.09.2019 20:30;01.09.2019 20:45;01.09.2019 21:14
81;EDDM;LROP;BCS3;YL-AAO;ZFFYAD;BTI;LH1652;01.09.2019 07:00;01.09.2019 07:19;01.09.2019 08:55;01.09.2019 08:59
82;EDDM;EDDV;CRJ9;D-ACKD;2GQVRD;DLH;LH2102;01.09.2019 17:05;01.09.2019 17:54;01.09.2019 18:10;01.09.2019 18:37
83;EDDM;LIRN;A320;D-AIPM;UFWI1V;DLH;LH1928;01.09.2019 13:05;01.09.2019 13:36;01.09.2019 14:40;01.09.2019 14:55
84;EDDM;LDZA;DH8D;9A-CQD;SUQ82J;CTN;OU437;01.09.2019 19:15;01.09.2019 20:05;01.09.2019 20:25;01.09.2019 20:59
85;EDDM;EPLL;CRJ9;D-ACNX;4JCE7Y;DLH;LH1628;01.09.2019 09:05;01.09.2019 09:18;01.09.2019 10:25;01.09.2019 10:24
86;EDDM;EDDW;A319;D-AILB;NAKADU;DLH;LH2110;01.09.2019 09:30;01.09.2019 09:45;01.09.2019 10:40;01.09.2019 10:38
87;EDDM;LIRF;A321;D-AIDO;XXZI6A;DLH;LH1846;01.09.2019 14:55;01.09.2019 15:11;01.09.2019 16:25;01.09.2019 16:22
88;EDDM;LHBP;A320;D-AIZA;QQ7SG3;DLH;LH1682;01.09.2019 20:15;01.09.2019 21:32;01.09.2019 21:30;01.09.2019 22:31
89;EDDM;EDLW;A319;D-AGWM;P6FLK0;EWG;EW4063;01.09.2019 18:45;01.09.2019 19:22;01.09.2019 19:55;01.09.2019 20:10
90;EDDM;LGMK;A320;D-AICF;B4E1F8;CFG;DE1760;01.09.2019 10:25;01.09.2019 11:58;01.09.2019 13:05;01.09.2019 14:04
91;EDDM;EDDW;A320;D-AIPM;PX50C0;DLH;LH2116;01.09.2019 18:20;01.09.2019 19:02;01.09.2019 19:30;01.09.2019 19:57
92;EDDM;LEMD;A320;EC-IEG;82JJ3G;IBE;IB3193;01.09.2019 17:15;01.09.2019 17:57;01.09.2019 20:00;01.09.2019 20:13
93;EDDM;EDDF;A321;D-AISF;PIGBU8;DLH;LH93;01.09.2019 05:00;01.09.2019 05:09;01.09.2019 06:00;01.09.2019 05:47
94;EDDM;EPWA;A319;D-AIBA;8JVV87;DLH;LH1614;01.09.2019 12:45;01.09.2019 13:21;01.09.2019 14:15;01.09.2019 14:33
95;EDDM;KEWR;B764;N76054;VT4LY2;UAL;UA31;01.09.2019 07:30;01.09.2019 07:35;01.09.2019 16:35;01.09.2019 16:14
96;EDDM;EGLL;A319;G-EUPG;C8W93L;BAW;BA957;01.09.2019 19:10;01.09.2019 19:20;01.09.2019 21:10;01.09.2019 20:52
97;EDDM;EDDH;A320;D-AIWB;PATF4M;DLH;LH2088;01.09.2019 17:40;01.09.2019 18:21;01.09.2019 18:55;01.09.2019 19:18
98;EDDM;LEPA;A320;D-ABFO;MMYLHQ;EWG;EW1994;01.09.2019 16:00;01.09.2019 16:14;01.09.2019 18:15;01.09.2019 18:01
99;EDDM;LEBL;A319;D-AIBF;ULXTC3;DLH;LH2656;01.09.2019 08:55;01.09.2019 09:01;01.09.2019 10:55;01.09.2019 10:56
100;EDDM;EPWR;CRJ9;S5-AAN;C4KCFF;ADR;LH1632;01.09.2019 13:10;01.09.2019 14:09;01.09.2019 14:15;01.09.2019 15:00
101;EDDM;LEPA;A319;D-AGWH;MIJS1T;EWG;EW1990;01.09.2019 03:50;01.09.2019 04:02;01.09.2019 06:15;01.09.2019 05:53
102;EDDM;LSZH;E190;HB-JVV;CQD66L;OAW;LX1101;01.09.2019 07:25;01.09.2019 07:30;01.09.2019 08:20;01.09.2019 08:04
103;EDDM;LEPA;A320;D-ABNI;HFCML3;EWG;EW1992;01.09.2019 10:10;01.09.2019 10:50;01.09.2019 12:25;01.09.2019 12:39
104;EDDM;EDDT;A320;D-AIUQ;SVY5FN;DLH;LH2212;01.09.2019 16:30;01.09.2019 17:06;01.09.2019 17:35;01.09.2019 17:55
105;EDDM;LEAL;B738;EI-DCO;BXF8GL;RYR;FR6258;01.09.2019 07:55;01.09.2019 08:19;01.09.2019 10:25;01.09.2019 10:31
106;EDDM;CYVR;A359;D-AIXJ;ZWSYRP;DLH;LH476;01.09.2019 13:35;01.09.2019 14:10;01.09.2019 23:45;01.09.2019 23:33
107;EDDM;LIPQ;CRJ9;D-ACKK;N128W7;DLH;LH1936;01.09.2019 13:45;01.09.2019 13:53;01.09.2019 14:40;01.09.2019 14:32
108;EDDM;LIPZ;E195;I-ADJO;ML4DIB;DLA;EN8202;01.09.2019 09:55;01.09.2019 11:21;01.09.2019 10:55;01.09.2019 12:04
109;EDDM;LIRN;A320;OE-IEW;5T0QV4;EWG;EW1898;01.09.2019 04:10;01.09.2019 04:20;01.09.2019 05:55;01.09.2019 05:38
110;EDDM;LRTR;CRJ9;S5-AAV;4SJILP;ADR;LH1658;01.09.2019 09:10;01.09.2019 11:06;01.09.2019 10:35;01.09.2019 12:13
111;EDDM;LIMC;A319;D-AIBB;RYTMBV;DLH;LH1860;01.09.2019 13:25;01.09.2019 13:50;01.09.2019 14:30;01.09.2019 14:41
112;EDDM;KORD;A346;D-AIHL;SP71ZV;DLH;LH434;01.09.2019 13:25;01.09.2019 13:57;01.09.2019 23:30;01.09.2019 23:13
113;EDDM;EGLL;A320;D-AIPL;TUARPM;DLH;LH2474;01.09.2019 09:50;01.09.2019 10:36;01.09.2019 11:50;01.09.2019 12:01
114;EDDM;LGIR;A321;D-AIDQ;YFU67M;DLH;LH1758;01.09.2019 12:50;01.09.2019 14:05;01.09.2019 15:30;01.09.2019 16:25
115;EDDM;GCLP;B738;D-ATUK;OF3C5O;TUI;X32238;01.09.2019 14:10;01.09.2019 15:01;01.09.2019 19:05;01.09.2019 19:13
116;EDDM;EGLL;A320;D-AIUW;KH92DS;DLH;LH2470;01.09.2019 05:15;01.09.2019 05:48;01.09.2019 07:15;01.09.2019 07:32
117;EDDM;OTHH;B77W;A7-BET;2PMX4Z;QTR;QR60;01.09.2019 07:45;01.09.2019 08:20;01.09.2019 13:20;01.09.2019 13:25
118;EDDM;LEMD;A319;EC-LEI;JU8LZY;IBE;IB3191;01.09.2019 10:15;01.09.2019 11:16;01.09.2019 13:00;01.09.2019 13:32
119;EDDM;LEMG;B738;EI-FVM;CJSUUX;NAX;D85101;01.09.2019 09:40;01.09.2019 10:40;01.09.2019 12:40;01.09.2019 13:13
120;EDDM;KEWR;A346;D-AIHF;3GNRID;DLH;LH412;01.09.2019 14:05;01.09.2019 14:57;01.09.2019 22:55;01.09.2019 23:31
121;EDDM;EGCC;A321;D-AIDO;AXR5Q5;DLH;LH2504;01.09.2019 19:45;01.09.2019 20:02;01.09.2019 21:50;01.09.2019 21:47
122;EDDM;EDDH;A320;D-AIPL;IGQ84G;DLH;LH2078;01.09.2019 15:15;01.09.2019 15:53;01.09.2019 16:30;01.09.2019 16:45
123;EDDM;LGAV;A321;D-AIRO;N9BZFP;DLH;LH1750;01.09.2019 06:55;01.09.2019 07:09;01.09.2019 09:20;01.09.2019 09:17
124;EDDM;LCLK;A321;D-AIDF;MQC0RF;DLH;LH1760;01.09.2019 08:20;01.09.2019 08:36;01.09.2019 11:40;01.09.2019 11:33
125;EDDM;LFBO;A320;D-AIUX;8X7SGV;DLH;LH2218;01.09.2019 09:05;01.09.2019 09:42;01.09.2019 10:50;01.09.2019 11:05
126;EDDM;FAOR;A343;ZS-SXD;T35DWC;SAA;SA265;01.09.2019 19:05;01.09.2019 19:19;02.09.2019 05:40;02.09.2019 05:50
127;EDDM;LTAI;A320;LY-VEL;Z6MVLM;SXS;XQ133;01.09.2019 16:10;01.09.2019 17:00;01.09.2019 19:15;01.09.2019 19:36
128;EDDM;VTBS;A332;D-AXGB;7ZJMOI;EWG;LH792;31.08.2019 13:25;31.08.2019 16:17;01.09.2019 00:10;01.09.2019 02:45
129;EDDM;LIRP;E195;I-ADJQ;RBMJHU;DLA;EN8292;01.09.2019 13:05;01.09.2019 13:39;01.09.2019 14:20;01.09.2019 14:37
130;EDDM;LIEO;A320;D-AIUT;ZQ7PK3;DLH;LH1966;01.09.2019 12:30;01.09.2019 12:54;01.09.2019 14:10;01.09.2019 14:13
131;EDDM;LPPT;A321;D-AIDW;A4QIUD;DLH;LH1790;01.09.2019 09:20;01.09.2019 09:39;01.09.2019 12:30;01.09.2019 12:52
132;EDDM;LFMN;E195;I-ADJK;X69EIC;DLA;LH2270;01.09.2019 04:35;01.09.2019 04:46;01.09.2019 06:00;01.09.2019 05:52
133;EDDM;ZSPD;A346;D-AIHD;K3RDE1;DLH;LH726;31.08.2019 20:20;31.08.2019 20:37;01.09.2019 07:15;01.09.2019 07:24
134;EDDM;EPWA;B734;SP-LLG;6RF37I;LOT;LO354;01.09.2019 17:35;01.09.2019 21:19;01.09.2019 19:10;01.09.2019 22:28
135;EDDM;LIMC;CRJ9;D-ACKG;JD0DD8;DLH;LH1866;01.09.2019 17:25;01.09.2019 18:09;01.09.2019 18:30;01.09.2019 19:01
136;EDDM;UUEE;A320;VQ-BIU;SDX19L;AFL;SU2595;01.09.2019 21:20;01.09.2019 21:30;02.09.2019 00:15;02.09.2019 00:09
137;EDDM;EIDW;A320;EI-DEG;ETIODF;EIN;EI357;01.09.2019 18:25;01.09.2019 18:42;01.09.2019 20:55;01.09.2019 20:47
138;EDDM;LPMA;B738;D-ATUO;0424G6;TUI;X32842;01.09.2019 04:00;01.09.2019 04:02;01.09.2019 08:20;01.09.2019 07:55
139;EDDM;EFHK;A319;D-AILU;CFHGQK;DLH;LH2460;01.09.2019 09:05;01.09.2019 09:25;01.09.2019 11:35;01.09.2019 11:38
140;EDDM;OMDB;A388;A6-EDA;B5NH5R;UAE;EK52;01.09.2019 20:35;01.09.2019 21:04;02.09.2019 02:30;02.09.2019 02:46
141;EDDM;LBSF;A321;D-AIRA;GSFE0Z;DLH;LH1702;01.09.2019 07:35;01.09.2019 07:50;01.09.2019 09:25;01.09.2019 09:17
142;EDDM;LEPA;B753;D-ABOG;IC7R3F;CFG;DE1508;01.09.2019 04:05;01.09.2019 04:28;01.09.2019 06:20;01.09.2019 06:12
143;EDDM;EGCC;A320;D-AIZJ;JDJLJP;DLH;LH2502;01.09.2019 14:05;01.09.2019 14:26;01.09.2019 16:10;01.09.2019 16:23
144;EDDM;EPWA;E75S;SP-LII;1OFK5V;LOT;LO352;01.09.2019 07:40;01.09.2019 08:01;01.09.2019 09:15;01.09.2019 09:12
145;EDDM;UKLL;CRJ9;D-ACNR;71HW7R;DLH;LH2550;01.09.2019 06:45;01.09.2019 07:03;01.09.2019 08:20;01.09.2019 08:23
146;EDDM;LFSB;CRJ9;D-ACKI;HXGR6B;DLH;LH2394;01.09.2019 06:20;01.09.2019 06:21;01.09.2019 07:15;01.09.2019 07:01
147;EDDM;LEBL;A20N;EC-NFH;K2A78H;VLG;VY1813;01.09.2019 07:50;01.09.2019 08:37;01.09.2019 10:00;01.09.2019 10:17
148;EDDM;EBBR;CRJ9;D-ACKL;IOA2YA;DLH;LH2290;01.09.2019 16:05;01.09.2019 16:45;01.09.2019 17:25;01.09.2019 17:45
149;EDDM;ENGM;B738;LN-RRL;GYUS2Y;SAS;SK4760;01.09.2019 10:10;01.09.2019 10:37;01.09.2019 12:20;01.09.2019 12:23
150;EDDM;EDDH;A320;D-AIPB;BWBJA1;DLH;LH2196;01.09.2019 16:45;01.09.2019 16:57;01.09.2019 18:00;01.09.2019 17:52
151;EDDM;EPGD;CRJ9;D-ACKF;LMLXON;DLH;LH1644;01.09.2019 13:05;01.09.2019 13:14;01.09.2019 14:35;01.09.2019 14:24
152;EDDM;ULLI;A319;VP-BIT;8RU1PN;SDM;SU6658;01.09.2019 10:10;01.09.2019 10:55;01.09.2019 12:55;01.09.2019 13:17
153;EDDM;LEIB;A319;OE-LYV;UIUFWF;EWG;EW1938;01.09.2019 06:00;01.09.2019 06:14;01.09.2019 08:35;01.09.2019 08:04
154;EDDM;RJBB;A359;D-AIXG;YYPXC9;DLH;LH742;01.09.2019 10:15;01.09.2019 10:26;01.09.2019 21:20;01.09.2019 21:15
155;EDDM;EDDK;A319;D-AIBB;90TUZR;DLH;LH1986;01.09.2019 09:20;01.09.2019 09:52;01.09.2019 10:25;01.09.2019 10:31
156;EDDM;LIRF;A320;EI-IKF;Z9GUWY;AZA;AZ437;01.09.2019 08:50;01.09.2019 09:45;01.09.2019 10:25;01.09.2019 10:56
157;EDDM;LPPT;A319;CS-TTD;X87IF3;TAP;TP557;01.09.2019 11:35;01.09.2019 12:08;01.09.2019 14:50;01.09.2019 14:53
158;EDDM;LDSP;DH8D;9A-CQD;CV45E9;CTN;OU4439;01.09.2019 12:15;01.09.2019 12:31;01.09.2019 13:45;01.09.2019 13:57
159;EDDM;LTFE;A321;D-AIDX;J5TOHO;DLH;LH1788;01.09.2019 09:30;01.09.2019 09:57;01.09.2019 12:15;01.09.2019 12:21
160;EDDM;LOWG;CRJ9;D-ACKH;KAD35L;DLH;LH2342;01.09.2019 10:50;01.09.2019 10:59;01.09.2019 11:40;01.09.2019 11:39
161;EDDM;EHAM;A319;D-AILY;6DNQOT;DLH;LH2304;01.09.2019 11:45;01.09.2019 13:01;01.09.2019 13:15;01.09.2019 14:07
162;EDDM;LEBL;A320;EC-MAX;62T2N0;VLG;VY1815;01.09.2019 14:05;01.09.2019 14:31;01.09.2019 16:15;01.09.2019 16:07
163;EDDM;KDFW;B788;N808AN;R62XLJ;AAL;AA25;01.09.2019 09:00;01.09.2019 09:16;01.09.2019 20:00;01.09.2019 19:28
164;EDDM;LDSP;A320;D-AIWB;HBLXBA;DLH;LH1716;01.09.2019 13:40;01.09.2019 14:07;01.09.2019 14:55;01.09.2019 15:08
165;EDDM;LGAV;A321;D-AIDP;UO5B5G;DLH;LH1752;01.09.2019 13:15;01.09.2019 13:38;01.09.2019 15:40;01.09.2019 15:45
166;EDDM;LIMF;E195;I-ADJN;NHH8G1;DLA;EN8254;01.09.2019 09:30;01.09.2019 09:48;01.09.2019 10:40;01.09.2019 10:43
167;EDDM;EDDF;A320;D-AIZN;6661PB;DLH;LH119;01.09.2019 17:00;01.09.2019 17:55;01.09.2019 18:00;01.09.2019 18:29
168;EDDM;EKCH;CRJ9;EI-FPV;T98ECW;SAS;SK1666;01.09.2019 09:50;01.09.2019 10:16;01.09.2019 11:25;01.09.2019 11:27
